INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240613_204605.wav,3.061,2024-06-13,20:46:05,20,2024-06-13,08:46:05,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,mWecuokfaiwIFaI1s1nE+w==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240613_204939.wav,3.059,2024-06-13,20:49:39,20,2024-06-13,08:49:39,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,2UckXrLB19o6bCYDcp4Ncw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240613_204648.wav,3.061,2024-06-13,20:46:48,20,2024-06-13,08:46:48,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,L48darOpu4BPduQNtV41Vw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240613_204627.wav,3.144,2024-06-13,20:46:27,20,2024-06-13,08:46:27,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,80MRVnAiIjvt1vF3mXWyTA==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240613_205120.wav,5.469,2024-06-13,20:51:20,20,2024-06-13,08:51:20,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,q73RjDWJOF9wSA93/JDd3A==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240613_205503.wav,3.089,2024-06-13,20:55:03,20,2024-06-13,08:55:03,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,18xVhw0pl0F0ZFii0SIS1A==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240613_205515.wav,3.144,2024-06-13,20:55:15,20,2024-06-13,08:55:15,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,HccJ0cLjIvJkU6T5voiu0Q==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240613_205531.wav,3.063,2024-06-13,20:55:31,20,2024-06-13,08:55:31,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,qUhGwVUg4G7tOhjb5BE3yg==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240613_205445.wav,5.184,2024-06-13,20:54:45,20,2024-06-13,08:54:45,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,MCw/y+8H25FBadkEZcAEaQ==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240613_205540.wav,3.245,2024-06-13,20:55:40,20,2024-06-13,08:55:40,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,dFY6n2/3eUEzAL+CPATeFg==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240613_205551.wav,3.076,2024-06-13,20:55:51,20,2024-06-13,08:55:51,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,AotDaZ/PoIZ/xcOsKSaELA==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240613_205554.wav,3.92,2024-06-13,20:55:54,20,2024-06-13,08:55:54,8,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,Zjl0rUpS3LS+5O7019JGHw==
